"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Cackling Prowler","G","C","75068","6.02","8653","8.81","26328","53.6%","52.3%","4472","52.6%","5790","53.5%","10262","53.1%","16050","51.8%","1.3pp"
"Authority of the Consuls","W","R","7345","3.40","984","4.42","3117","56.8%","52.3%","529","53.9%","704","50.7%","1233","52.1%","1882","52.5%","-0.4pp"
"Tolarian Terror","U","C","64961","5.16","12834","6.65","48710","67.2%","52.3%","7917","47.8%","13826","54.1%","21743","51.8%","26926","52.6%","-0.8pp"
"Divine Resilience","W","U","26980","5.51","3111","8.25","6781","38.0%","52.2%","1099","49.9%","1551","51.3%","2650","50.7%","4070","53.0%","-2.3pp"
"Raise the Past","W","R","9160","4.22","1344","5.88","2940","38.2%","52.2%","489","","709","52.3%","1198","50.6%","1741","53.3%","-2.7pp"
"Thornwood Falls","","C","40400","6.79","6373","9.37","19170","52.5%","52.1%","3584","53.4%","4645","54.1%","8229","53.8%","10911","50.8%","2.9pp"
"Lunar Insight","U","R","11309","4.94","1651","6.97","3523","37.2%","52.1%","599","47.4%","922","56.4%","1521","52.9%","1998","51.6%","1.3pp"
"Hare Apparent","W","C","73710","6.13","10034","8.66","21434","37.0%","52.1%","3894","52.6%","4697","50.5%","8591","51.5%","12747","52.4%","-1.0pp"
"Self-Reflection","U","U","30524","6.62","4156","9.50","5845","24.6%","52.1%","901","51.8%","1561","53.3%","2462","52.8%","3370","51.5%","1.2pp"
"Quick-Draw Katana","","C","85275","7.94","9188","11.57","6741","12.9%","52.1%","1154","49.8%","1462","50.8%","2616","50.4%","4124","53.1%","-2.7pp"
"Stroke of Midnight","W","U","23556","4.77","2214","7.41","6626","51.9%","52.1%","1154","50.5%","1606","52.8%","2760","51.8%","3867","52.2%","-0.4pp"
"Elementalist Adept","U","C","76384","6.37","11669","8.90","34489","52.2%","52.0%","6190","52.1%","8949","52.2%","15139","52.2%","19268","51.8%","0.3pp"
"Witness Protection","U","C","71299","5.82","9263","8.46","29021","55.3%","52.0%","4982","50.5%","7805","54.3%","12787","52.8%","16205","51.3%","1.5pp"
"Koma, World-Eater","UG","R","4467","2.29","1948","2.16","8177","74.1%","51.9%","1361","54.0%","2244","59.5%","3605","57.4%","4557","47.3%","10.1pp"
"Firespitter Whelp","R","U","24274","4.77","3904","6.54","14038","63.8%","51.9%","2424","50.8%","3268","51.1%","5692","51.0%","8337","52.5%","-1.5pp"
"Good-Fortune Unicorn","WG","U","20177","4.16","3467","5.30","13567","69.9%","51.9%","2345","52.8%","3113","51.6%","5458","52.1%","8060","51.8%","0.3pp"
"Quakestrider Ceratops","G","U","26941","5.43","3202","7.94","8512","47.0%","51.8%","1395","51.3%","1924","53.0%","3319","52.3%","5188","51.3%","1.0pp"
"Thrill of Possibility","R","C","81069","7.32","10528","10.37","22667","37.8%","51.8%","4156","49.7%","5414","52.7%","9570","51.4%","13075","52.0%","-0.6pp"
"Armasaur Guide","W","C","81324","7.01","8754","10.52","10674","21.2%","51.8%","1843","48.3%","2482","50.8%","4325","49.8%","6372","53.1%","-3.3pp"
"Elvish Archdruid","G","R","6081","2.91","1516","3.33","6367","75.0%","51.8%","1153","55.8%","1422","51.8%","2575","53.6%","3788","50.5%","3.1pp"
